id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
248;Fabio Jesus Pereyra;Fabio;Jesus Pereyra;33;NULL;Defender;Huracan;Argentina
249;Fabricio Amato;Fabricio;Amato;19;NULL;Midfielder;Estudiantes;Argentina
250;Fabricio Dominguez;Fabricio;Dominguez;25;NULL;Midfielder;Argentinos Juniors;Uruguay
251;Fabricio iacovich;Fabricio;iacovich;21;NULL;Goalkeeper;Estudiantes;Argentina
252;Fabricio Oviedo;Fabricio;Oviedo;19;NULL;Forward;Rosario Central;Argentina
253;Fabrizio Sartori Prieto;Fabrizio;Sartori Prieto;21;NULL;Forward;Newell's Old Boys;Argentina
254;Facundo Aguero;Facundo;Aguero;28;NULL;Defender;Rosario Central;Argentina
255;Facundo Altamirano;Facundo;Altamirano;27;NULL;Goalkeeper;San Lorenzo;Argentina
256;Facundo Benjamin Schamine;Facundo;Benjamin Schamine;19;NULL;Midfielder;Defensa y Justicia;Argentina
257;Facundo Castelli;Facundo;Castelli;28;NULL;Forward;Central Cordoba SdE;Argentina
258;Facundo Colidio;Facundo;Colidio;23;NULL;Forward;River Plate;Argentina
259;Facundo Echevarria;Facundo;Echevarria;21;NULL;Midfielder;Defensa y Justicia;Argentina
260;Facundo Farias;Facundo;Farias;21;NULL;Midfielder;Colon;Argentina
261;Facundo Ferreyra;Facundo;Ferreyra;32;NULL;Forward;Argentinos Juniors;Argentina
262;Facundo Gutierrez;Facundo;Gutierrez;26;NULL;Midfielder;Defensa y Justicia;Argentina
263;Facundo Lencioni;Facundo;Lencioni;22;NULL;Forward;Belgrano;Argentina
264;Facundo Mallo Blanco;Facundo;Mallo Blanco;28;NULL;Defender;Rosario Central;Uruguay
265;Facundo Martin Taborda;Facundo;Martin Taborda;22;NULL;Forward;Colon;Argentina
266;Facundo Mater;Facundo;Mater;25;NULL;Midfielder;Barracas Central;Argentina
267;Facundo Mura;Facundo;Mura;24;NULL;Defender;Racing Club;Argentina
268;Facundo Nicola Cambeses;Facundo;Nicola Cambeses;26;NULL;Goalkeeper;Banfield;Argentina
269;Facundo Odello;Facundo;Odello;20;NULL;Defender;Defensa y Justicia;Afghanistan
